ID_Unico;Titulo;Autor;Categoria;Anio_Escritura;Numero_Paginas;Calificacion_Usuarios;Stock_Disponible
eb2f7268-588d;Vórtice de las Almas de Plomo;Balthazar Blackwood;Filosofía Prohibida;1832;296;2,98;17
3b1ab20d-a01a;El Aliento de la Quintaesencia;Morgana Crowley;Botánica Arcana;1359;113;2,78;3
3ccd3b4f-c8b2;Códice de las Almas de Plomo;Aurelius Blackwood;Filosofía Prohibida;1625;498;1,47;36
de35ba97-e877;La Esencia de el Mercurio Rojo;Aurelius Blackwood;Botánica Arcana;1460;988;3,89;0
00c5336c-26b3;Sombras sobre el Mercurio Rojo;Morgana Sterling;Filosofía Prohibida;1659;1123;1,83;32
3e4a8269-9463;Códice de la Transmutación Infinitas;Thalric Crowley;Alquimia Teórica;1512;934;3,03;25
f7b63ffa-dab2;Sombras sobre el Azufre Sagrado;Seraphine Grimoire;Transmutación Metálica;1846;368;4,5;25
c30a4bd1-4ae1;El Aliento de la Transmutación Infinitas;Thalric Grimoire;Transmutación Metálica;1656;483;1,38;26
61103097-5632;Sombras sobre el Azufre Sagrado;Isolde Grimoire;Historia de la Piedra;1656;298;1,58;9
4ee2af94-1092;Códice de el Mercurio Rojo;Thalric Grimoire;Botánica Arcana;1678;1264;1,38;9
4508c9b1-9873;El Aliento de la Quintaesencia;Balthazar Nightshade;Transmutación Metálica;1542;1331;1,88;23
e79364ed-ead5;Sombras sobre las Almas de Plomo;Seraphine Nightshade;Botánica Arcana;1718;733;4,96;24
10159d55-a192;El Enigma de las Almas de Plomo;Isolde Vance;Alquimia Teórica;1998;882;3,93;11
60285b22-8b2f;El Aliento de el Sol Negro;Isolde Blackwood;Historia de la Piedra;1892;239;4,69;17
b581a94e-9428;El Aliento de la Transmutación Infinitas;Aurelius Crowley;Transmutación Metálica;1786;1399;1,55;33
7d6d492e-6cde;El Aliento de el Sol Negro;Caspian Vance;Transmutación Metálica;1940;1159;3,98;18
b53be1e7-f51a;La Esencia de el Sol Negro;Elara Flamel;Botánica Arcana;1805;473;3,62;27
9223a143-4f35;Espejos de el Sol Negro;Elara Flamel;Alquimia Teórica;1430;259;2,37;44
21f36243-0802;Vórtice de las Almas de Plomo;Isolde Sterling;Transmutación Metálica;1219;157;4,95;34
688411fb-ca4e;La Esencia de el Azufre Sagrado;Thalric Nightshade;Alquimia Teórica;1661;1113;4,61;47
08ad7f78-45d9;Espejos de la Quintaesencia;Balthazar Crowley;Alquimia Teórica;1526;788;1,94;13
3a24aba3-21a5;Vórtice de la Transmutación Infinitas;Thalric Nightshade;Transmutación Metálica;1860;1360;1,26;43
888c38b4-56ba;Vórtice de el Mercurio Rojo;Caspian Nightshade;Botánica Arcana;1374;1134;2,75;6
e0ff9de6-c7ba;El Enigma de la Quintaesencia;Balthazar Crowley;Historia de la Piedra;1609;251;1,35;49
8b429f01-bbc3;El Enigma de el Mercurio Rojo;Isolde Vance;Alquimia Teórica;1511;1364;2,39;39
3a902b0e-afdf;El Enigma de las Almas de Plomo;Elara Blackwood;Alquimia Teórica;1872;324;4,53;49
3b8bf975-5672;Códice de la Quintaesencia;Thalric Vance;Alquimia Teórica;1562;728;3,77;45
83bf75cc-9739;El Enigma de la Transmutación Infinitas;Seraphine Sterling;Transmutación Metálica;1655;209;4,73;4
4419f9e6-3669;La Esencia de la Quintaesencia;Morgana Crowley;Filosofía Prohibida;1208;213;1,67;12
c0f6f37b-8bc9;El Aliento de la Quintaesencia;Morgana Vance;Historia de la Piedra;1879;1480;3,99;38
860f6984-be9c;Espejos de el Azufre Sagrado;Thalric Flamel;Transmutación Metálica;1750;248;2,25;43
5be50040-83ed;Tratado de las Almas de Plomo;Aurelius Vance;Historia de la Piedra;1976;533;4,05;14
de6c9537-a869;Tratado de el Sol Negro;Morgana Grimoire;Alquimia Teórica;1494;769;3,34;0
8e1e825d-78c8;Espejos de el Mercurio Rojo;Elara Grimoire;Botánica Arcana;1155;642;4,45;48
643c1559-6d9e;La Esencia de la Transmutación Infinitas;Seraphine Blackwood;Botánica Arcana;1905;1134;1,23;48
00e1f8ae-025c;Tratado de las Almas de Plomo;Balthazar Grimoire;Filosofía Prohibida;1789;119;4,95;19
2a915753-62c3;La Esencia de el Azufre Sagrado;Isolde Sterling;Botánica Arcana;1503;477;4,95;26
afa9c667-6c23;El Aliento de el Azufre Sagrado;Balthazar Crowley;Filosofía Prohibida;1116;1241;1,14;0
7f8e4b4b-7706;Sombras sobre las Almas de Plomo;Caspian Grimoire;Filosofía Prohibida;1160;272;2,22;47
1fb32b90-81f8;La Esencia de el Sol Negro;Isolde Flamel;Alquimia Teórica;1819;307;3,62;33
676153fc-9636;El Aliento de el Azufre Sagrado;Caspian Crowley;Transmutación Metálica;1588;1259;1,79;40
2f591f2d-5015;La Esencia de las Almas de Plomo;Caspian Crowley;Filosofía Prohibida;1165;185;2,49;35
90b7a299-7d4a;Vórtice de la Quintaesencia;Caspian Sterling;Historia de la Piedra;1279;1170;2,4;41
96bbf176-1532;Sombras sobre el Mercurio Rojo;Thalric Flamel;Historia de la Piedra;1448;750;1,43;12
b5864100-4673;Espejos de las Almas de Plomo;Thalric Grimoire;Filosofía Prohibida;1341;208;2,06;5
c26c2337-73bc;Sombras sobre la Quintaesencia;Caspian Sterling;Transmutación Metálica;1310;291;4,62;37
c199b9fa-7a0b;Códice de la Quintaesencia;Caspian Crowley;Transmutación Metálica;1404;1028;1,39;18
c8a96479-e67c;Espejos de el Sol Negro;Morgana Nightshade;Historia de la Piedra;1304;592;2,84;20
0f7c0d3f-d74a;El Aliento de la Quintaesencia;Aurelius Crowley;Botánica Arcana;1179;1347;2,37;15
0ebf32e0-0c48;La Esencia de la Transmutación Infinitas;Caspian Vance;Transmutación Metálica;1201;758;2,98;18
72b72239-35bf;Códice de la Transmutación Infinitas;Aurelius Sterling;Alquimia Teórica;1293;1157;1,19;14
c0ddf215-eddc;El Enigma de la Transmutación Infinitas;Isolde Flamel;Filosofía Prohibida;1512;1097;1,5;1
78be413f-4df5;La Esencia de la Quintaesencia;Seraphine Grimoire;Transmutación Metálica;1709;372;2,07;0
f20e0782-44be;Códice de la Quintaesencia;Caspian Vance;Transmutación Metálica;1905;494;1,75;42
0667ebae-a136;El Enigma de las Almas de Plomo;Caspian Crowley;Historia de la Piedra;1731;87;2,36;1
c59b416a-d599;Tratado de el Mercurio Rojo;Seraphine Blackwood;Transmutación Metálica;1858;742;3,69;30
3ddcc4cd-0a03;Vórtice de la Quintaesencia;Isolde Crowley;Transmutación Metálica;1441;103;4,77;7
65e387ea-5791;Espejos de el Mercurio Rojo;Isolde Grimoire;Historia de la Piedra;1774;544;2,24;45
72053717-d371;El Aliento de el Sol Negro;Balthazar Nightshade;Filosofía Prohibida;1850;515;3;23
cba86b1e-fddd;La Esencia de la Transmutación Infinitas;Elara Blackwood;Historia de la Piedra;1273;573;4,07;28
